img(x),img(y), Color, rgb
(326,210), Golden Yellow," rgb(255, 227, 22)"
(153,226), Lavender Gray," rgb(199, 189, 224)"
(93,409), Grullo," rgb(164, 151, 134)"
(270,456), Dark Pastel Blue," rgb(122, 150, 213)"
(203,554), Platinum," rgb(231, 229, 230)"
(312,578), United Nations Blue," rgb(74, 157, 235)"
(636,440), Silver," rgb(199, 193, 195)"
(729,215), Rich Electric Blue," rgb(16, 129, 225)"
(698,220), Light Gray," rgb(208, 210, 222)"
(603,220), Rose Madder," rgb(220, 35, 49)"
(567,125), Tea Rose (Orange)," rgb(250, 134, 111)"
(537,129), Platinum," rgb(231, 223, 221)"
(383,101), Mellow Apricot," rgb(251, 187, 116)"
(359,107), Upsdell Red," rgb(184, 30, 40)"
(307,124), Anti-Flash White," rgb(239, 237, 242)"
(284,86), Sky Blue," rgb(123, 178, 235)"
(269,84), Baby Blue," rgb(137, 190, 242)"
(270,125), Scarlet," rgb(254, 33, 4)"
