EXHP,Fragm1,Fragm2,Fragm3,Fragm4,Fragm5,Fragm6,Fragm7,Fragm8,Fragm9,Fragm10,Fragm11,Fragm12
0.00,20.00,20.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
0.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
0.00,23.00,35.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,83.00,90.00,84.00,110.00,67.00,73.00,94.00,106.00,82.00,85.00,102.00,22.00
1.00,77.00,89.00,78.00,112.00,121.00,99.00,82.00,130.00,124.00,123.00,74.00,22.00
0.00,25.00,34.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
0.00,22.00,24.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
0.00,13.00,25.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,88.00,140.00,78.00,108.00,127.00,86.00,84.00,87.00,145.00,119.00,121.00,129.00
0.00,35.00,22.00,23.00,14.00,28.00,32.00,40.00,39.00,37.00,29.00,30.00,20.00
1.00,84.00,138.00,106.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,115.00,99.00,140.00,143.00,91.00,138.00,82.00,101.00,22.00,22.00,22.00,22.00
1.00,146.00,139.00,67.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,105.00,22.00,158.00,2.00,149.00,2.00,88.00,2.00,124.00,22.00,22.00,22.00
1.00,155.00,82.00,113.00,101.00,152.00,129.00,121.00,134.00,22.00,22.00,22.00,22.00
1.00,76.00,104.00,155.00,80.00,86.00,84.00,126.00,73.00,128.00,22.00,22.00,22.00
1.00,151.00,90.00,118.00,80.00,119.00,130.00,104.00,146.00,150.00,22.00,22.00,22.00
1.00,111.00,91.00,82.00,118.00,147.00,79.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,119.00,94.00,84.00,97.00,74.00,81.00,154.00,118.00,104.00,137.00,106.00,22.00
1.00,139.00,138.00,77.00,105.00,76.00,78.00,92.00,86.00,151.00,81.00,72.00,115.00
1.00,149.00,147.00,112.00,130.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
